Objects,Cost,Iterations
2,199,18
5,246,20
10,207,15
2,224,16
5,264,21
10,246,22
2,217,19
5,257,16
10,265,16
2,249,19
5,242,14
10,242,19
2,270,24
5,253,21
10,268,16
2,273,17
5,212,21
10,243,17
2,251,16
5,234,13
10,215,17
2,237,15
5,210,12
10,248,22
2,285,17
5,230,21
10,207,16
2,189,15
5,256,23
10,245,24
2,217,16
5,234,11
10,253,20
2,303,26
5,212,11
10,230,19
2,282,21
5,253,19
10,213,21
2,241,20
5,232,16
10,241,20
2,201,12
5,253,23
10,248,17
2,241,20
5,285,17
10,266,17
2,200,21
5,215,19
10,216,19
2,248,22
5,285,19
10,215,16
2,210,16
5,218,17
10,239,16
2,234,24
5,231,16
10,278,19
2,217,16
5,257,17
10,235,18
2,223,15
5,232,20
10,219,16
2,271,19
5,289,22
10,226,16
2,244,24
5,229,26
10,207,18
2,223,21
5,251,16
10,214,21
