Objects,Cost,Iterations
2,203,17
5,230,14
10,228,17
2,220,19
5,229,10
10,241,19
2,169,13
5,218,10
10,216,18
2,166,13
5,231,18
10,240,18
2,232,13
5,201,19
10,247,22
2,193,17
5,224,12
10,243,20
2,221,26
5,246,20
10,216,20
2,170,15
5,240,17
10,241,21
2,187,20
5,248,10
10,236,16
2,145,9
5,227,13
10,221,20
2,178,17
5,227,20
10,225,16
2,246,20
5,246,11
10,240,13
2,239,14
5,250,19
10,244,14
2,207,17
5,255,22
10,257,21
2,181,12
5,228,15
10,243,21
2,147,13
5,219,14
10,215,15
2,211,13
5,226,22
10,197,21
2,207,24
5,214,10
10,246,15
2,273,24
5,185,21
10,252,18
2,239,19
5,202,16
10,239,15
2,271,25
5,222,15
10,261,16
2,162,13
5,207,23
10,238,19
2,221,21
5,240,16
10,234,15
2,222,22
5,189,12
10,240,14
2,225,19
5,232,19
10,243,18
