Objects,Cost,Iterations
2,571,68
5,536,41
10,523,51
2,677,60
5,555,63
10,502,46
2,552,64
5,470,58
10,471,53
2,539,75
5,619,58
10,494,62
2,650,57
5,595,52
10,497,54
2,470,51
5,565,71
10,586,41
2,610,61
5,552,56
10,528,39
2,698,54
5,509,46
10,548,51
2,607,61
5,464,55
10,558,44
2,586,49
5,614,60
10,499,54
2,564,52
5,618,61
10,464,57
2,707,58
5,598,68
10,525,56
2,738,56
5,461,51
10,622,53
2,577,63
5,482,59
10,565,48
2,770,76
5,487,60
10,589,43
2,545,53
5,552,64
10,523,53
2,597,62
5,512,66
10,541,54
2,565,48
5,496,50
10,542,46
2,522,65
5,525,50
10,509,43
2,495,56
5,512,59
10,542,48
2,571,47
5,572,62
10,494,51
2,583,67
5,600,68
10,561,66
2,585,64
5,479,49
10,544,35
2,530,60
5,465,58
10,534,46
2,653,58
5,564,41
10,540,51
2,702,63
5,557,51
10,545,61
2,548,71
5,518,52
10,526,47
2,678,49
5,539,71
10,460,49
2,568,51
5,582,57
10,481,53
2,472,59
5,546,47
10,511,48
2,604,62
5,482,67
10,508,38
2,645,65
5,549,54
10,528,43
2,594,57
5,590,42
10,560,48
2,568,66
5,507,59
10,596,48
2,542,67
5,488,50
10,545,63
2,515,51
5,602,68
10,514,69
2,598,55
5,537,62
10,568,38
2,540,64
5,502,46
10,496,45
2,597,64
5,462,43
10,560,59
2,532,66
5,440,40
10,531,44
2,513,55
5,511,73
10,521,56
2,497,58
5,548,68
10,562,58
2,749,49
5,650,51
10,528,50
2,562,67
5,558,37
10,476,35
2,612,61
5,526,66
10,572,48
2,738,56
5,515,66
10,490,58
2,565,67
5,580,56
10,538,47
2,571,50
5,556,39
10,510,54
2,596,70
5,797,54
10,492,50
2,546,64
5,508,54
10,511,42
