Objects,Cost,Iterations
2,271,23
5,241,21
10,232,21
2,229,22
5,248,17
10,222,23
2,239,21
5,200,18
10,218,17
2,216,24
5,255,21
10,220,17
2,260,23
5,220,24
10,213,20
2,234,28
5,227,17
10,210,18
2,231,19
5,207,19
10,235,15
2,227,18
5,232,17
10,204,22
2,256,23
5,224,21
10,220,20
2,199,19
5,237,19
10,234,23
2,235,21
5,216,20
10,221,18
2,211,22
5,221,17
10,214,21
2,245,16
5,210,19
10,226,23
2,207,19
5,226,20
10,260,21
2,270,18
5,215,18
10,216,20
2,222,18
5,240,15
10,247,18
2,291,18
5,284,25
10,223,19
2,245,21
5,244,18
10,265,26
2,286,16
5,262,14
10,234,22
2,204,19
5,222,21
10,213,19
2,287,25
5,242,17
10,210,17
2,213,19
5,241,20
10,214,20
2,218,14
5,210,25
10,215,22
2,244,15
5,224,16
10,214,21
2,221,18
5,238,20
10,226,19
