Objects,Cost,Iterations
2,446,71
5,493,62
10,464,58
2,412,92
5,424,63
10,540,48
2,373,66
5,506,75
10,411,60
2,417,85
5,401,44
10,420,56
2,442,65
5,436,51
10,533,49
2,541,64
5,482,60
10,443,68
2,538,67
5,380,68
10,515,51
2,423,63
5,448,69
10,457,73
2,458,79
5,472,59
10,464,61
2,415,62
5,511,60
10,554,60
2,466,65
5,415,56
10,534,54
2,431,73
5,431,53
10,428,68
2,389,74
5,452,52
10,467,54
2,388,72
5,470,76
10,471,58
2,402,60
5,508,47
10,495,51
2,423,70
5,472,57
10,453,80
2,403,82
5,421,65
10,542,70
2,410,66
5,424,60
10,441,60
2,339,64
5,451,56
10,421,61
2,326,101
5,423,62
10,488,71
2,410,66
5,381,52
10,401,59
2,416,82
5,417,61
10,489,61
2,440,79
5,431,68
10,395,47
2,486,80
5,431,63
10,503,64
2,486,68
5,436,58
10,495,41
2,491,81
5,469,60
10,540,59
2,411,81
5,462,56
10,467,65
2,405,64
5,427,54
10,507,75
2,380,59
5,414,84
10,450,52
2,380,62
5,460,67
10,383,49
2,393,64
5,422,66
10,449,47
2,410,70
5,445,69
10,455,55
2,525,65
5,472,70
10,452,51
2,394,62
5,480,58
10,467,56
2,433,81
5,494,56
10,465,49
2,449,59
5,448,57
10,423,65
2,429,79
5,458,70
10,553,52
2,452,61
5,484,59
10,430,46
2,500,84
5,425,79
10,469,59
2,386,66
5,463,59
10,501,53
2,400,88
5,437,62
10,426,64
2,380,55
5,450,46
10,439,50
2,403,70
5,483,61
10,469,56
2,515,66
5,449,61
10,434,70
2,454,68
5,406,57
10,474,62
2,486,88
5,443,64
10,506,55
2,491,81
5,418,53
10,443,51
2,403,59
5,516,50
10,399,61
2,518,64
5,460,71
10,428,67
2,452,63
5,424,64
10,479,55
