0, 6, 0, 9, 6, 5, 0, 0, 0, 9, 9, 1, 0, 0, 0
6, 0, 2, 0, 0, 0, 6, 0, 6, 0, 0, 4, 0, 0, 0
0, 2, 0, 7, 0, 0, 0, 0, 0, 0, 9, 0, 14, 0, 0
9, 0, 7, 0, 4, 7, 0, 0, 0, 0, 4, 6, 0, 0, 0
6, 0, 0, 4, 0, 5, 0, 13, 4, 6, 0, 0, 2, 0, 0
5, 0, 0, 7, 5, 0, 0, 0, 0, 0, 0, 14, 6, 0, 0
0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 9
0, 0, 0, 0, 13, 0, 0, 0, 9, 10, 0, 0, 0, 0, 0
0, 6, 0, 0, 4, 0, 0, 9, 0, 0, 0, 0, 3, 0, 0
9, 0, 0, 0, 6, 0, 0, 10, 0, 0, 0, 0, 0, 14, 0
9, 0, 9, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0
1, 4, 0, 6, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 14, 0, 2, 6, 7, 0, 3, 0, 0, 0, 0, 0, 12
0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 12, 0, 0
