0, 1, 0, 10, 0, 0, 16, 0, 0, 0, 0, 0, 46, 0, 0, 2, 0, 0, 0, 0, 0, 8, 0, 0, 25, 46, 0, 33, 0, 31, 0, 0, 0, 49, 26, 0, 0, 0, 0, 44, 47, 8, 17, 0, 0, 0, 0, 0, 0, 45
1, 0, 40, 49, 0, 24, 0, 1, 0, 0, 0, 13, 0, 0, 13, 7, 18, 0, 0, 32, 25, 0, 0, 0, 34, 0, 0, 33, 0, 0, 19, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 48, 0, 35, 0, 0, 28, 10
0, 40, 0, 0, 33, 0, 2, 0, 20, 0, 1, 31, 42, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 20, 1, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 15, 0, 0, 35, 23, 19, 0, 0, 0
10, 49, 0, 0, 0, 0, 0, 0, 33, 33, 0, 0, 0, 48, 27, 0, 43, 0, 0, 7, 32, 0, 0, 48, 48, 0, 18, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 17, 30, 27, 0, 21, 0, 0, 15, 0, 0, 0
0, 0, 33, 0, 0, 0, 0, 44, 31, 0, 0, 0, 2, 0, 0, 43, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 46, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 9, 0, 0, 0, 0, 0, 0
0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 5, 14, 0, 0, 25, 0, 0, 0, 0, 0, 0, 37, 0, 7, 0, 0, 0, 0, 42, 0, 0, 0, 29
16, 0, 2, 0, 0, 0, 0, 0, 0, 39, 0, 10, 3, 16, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 43, 0, 38, 36, 45, 0, 41, 0, 0, 0, 8, 0, 0, 20, 6, 1, 32, 38
0, 1, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 9, 0, 0, 15, 0, 0, 0, 0, 0, 0, 31, 0, 15, 0, 0, 0, 0, 41, 0, 0, 31, 16, 36, 0, 0, 0
0, 0, 20, 33, 31, 0, 0, 0, 0, 32, 28, 0, 0, 0, 0, 0, 20, 0, 41, 0, 12, 0, 33, 0, 4, 22, 15, 7, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 23, 0, 32, 0, 0, 0, 33, 0, 0, 18, 0, 0
0, 0, 0, 33, 0, 1, 39, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 10, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 36, 0, 8, 0, 46, 0, 0, 0, 0, 0, 0, 49, 0
0, 0, 1, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 38, 0, 35, 0, 32, 19, 0, 9, 39, 26, 0, 0, 23, 0, 0, 0, 0, 0, 0, 31, 26, 39, 22, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0
0, 13, 31, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 42, 12, 18, 0, 20, 0, 0, 16, 0, 0, 0, 0, 0, 47, 0, 0, 49, 0, 0, 0, 0, 17, 0, 0, 15, 16, 0, 0, 21, 13, 0, 0, 0, 0, 0, 34, 0
46, 0, 42, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 49, 22, 0, 0, 14, 10, 0, 0, 9, 0, 0, 0, 0, 30, 0, 0, 0, 24, 0, 0, 31, 0
0, 0, 0, 48, 0, 0, 16, 0, 0, 0, 0, 42, 0, 0, 0, 3, 8, 0, 0, 9, 27, 0, 0, 18, 0, 0, 0, 0, 0, 0, 41, 24, 0, 3, 0, 0, 25, 0, 16, 0, 0, 0, 0, 0, 0, 19, 45, 0, 0, 0
0, 13, 18, 27, 0, 0, 0, 0, 0, 0, 38, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 24, 0, 0, 0, 0, 40, 25, 0, 0, 0, 0, 0, 0, 43, 36, 0, 0, 0, 16, 0, 0, 0, 45, 0, 0
