0, 0, 2, 5, 3, 11, 7, 0, 0, 13, 5, 7, 0, 5, 8
0, 0, 9, 0, 3, 0, 1, 4, 5, 12, 0, 0, 0, 5, 11
2, 9, 0, 0, 0, 0, 0, 13, 4, 4, 0, 0, 8, 0, 10
5, 0, 0, 0, 0, 0, 1, 9, 11, 4, 9, 0, 0, 0, 2
3, 3, 0, 0, 0, 0, 0, 0, 12, 9, 0, 4, 9, 0, 0
11, 0, 0, 0, 0, 0, 0, 0, 5, 0, 12, 13, 0, 0, 14
7, 1, 0, 1, 0, 0, 0, 0, 1, 0, 13, 0, 4, 0, 13
0, 4, 13, 9, 0, 0, 0, 0, 0, 9, 10, 0, 7, 10, 0
0, 5, 4, 11, 12, 5, 1, 0, 0, 0, 2, 14, 7, 0, 0
13, 12, 4, 4, 9, 0, 0, 9, 0, 0, 1, 0, 14, 0, 0
5, 0, 0, 9, 0, 12, 13, 10, 2, 1, 0, 0, 0, 1, 0
7, 0, 0, 0, 4, 13, 0, 0, 14, 0, 0, 0, 0, 14, 0
0, 0, 8, 0, 9, 0, 4, 7, 7, 14, 0, 0, 0, 13, 4
5, 5, 0, 0, 0, 0, 0, 10, 0, 0, 1, 14, 13, 0, 0
8, 11, 10, 2, 0, 14, 13, 0, 0, 0, 0, 0, 4, 0, 0
