0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 4, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 12, 0, 0
0, 0, 0, 19, 0, 0, 0, 10, 0, 10, 0, 24, 0, 21, 0, 9, 0, 0, 5, 0, 24, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 16, 0, 3, 0, 10, 0, 0, 0, 8, 3, 4
0, 19, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 13, 18, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 8, 0, 0, 1, 0, 4, 0
2, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 17, 0, 0, 15, 24, 0, 24
0, 10, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 17, 0, 0, 16, 0, 0, 0, 16, 5, 0
0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0
0, 10, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 7, 10, 2, 0, 0
3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 0, 15, 0, 0, 0
4, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 9, 23, 0, 0, 0
0, 0, 20, 0, 0, 0, 11, 0, 0, 0, 24, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 0, 0, 3, 0
0, 21, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 8, 17, 8, 0, 0, 5, 0, 0, 0, 0, 0
0, 0, 16, 0, 3, 15, 0, 1, 0, 0, 0, 4, 0, 8, 0, 0, 9, 22, 0, 6, 0, 7, 23, 16, 7
21, 9, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 0, 21, 0
0, 0, 3, 15, 0, 0, 0, 0, 0, 23, 0, 0, 17, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 0, 0, 23, 10, 1
0, 5, 10, 0, 0, 8, 17, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0
0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 6, 0, 0, 5, 0, 0, 0, 0, 24, 8, 5
0, 24, 0, 18, 0, 0, 0, 0, 0, 7, 0, 9, 1, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 7, 9
0, 0, 0, 0, 0, 1, 15, 0, 0, 10, 15, 23, 0, 0, 7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 0, 8, 0, 0, 0, 24, 16, 0, 2, 0, 0, 0, 0, 23, 0, 0, 23, 0, 24, 0, 0, 0, 2, 0
0, 0, 3, 0, 0, 4, 0, 5, 0, 0, 0, 0, 3, 0, 16, 21, 0, 10, 0, 8, 7, 0, 2, 0, 0
0, 0, 4, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 0, 5, 9, 0, 0, 0, 0
