0, 13, 0, 0, 0, 0, 6, 0, 7, 0, 0, 0, 0, 0, 0
13, 0, 0, 0, 0, 0, 10, 10, 13, 0, 0, 12, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 4, 0, 12, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2
0, 0, 0, 0, 0, 0, 13, 0, 5, 0, 0, 0, 0, 2, 0
0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0
6, 10, 0, 0, 13, 0, 0, 0, 14, 11, 7, 0, 0, 0, 7
0, 10, 4, 0, 0, 6, 0, 0, 0, 0, 13, 0, 10, 0, 0
7, 13, 0, 0, 5, 0, 14, 0, 0, 0, 9, 0, 12, 0, 9
0, 0, 12, 0, 0, 0, 11, 0, 0, 0, 7, 0, 9, 0, 0
0, 0, 0, 0, 0, 0, 7, 13, 9, 7, 0, 0, 0, 0, 2
0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 10, 12, 9, 0, 0, 0, 7, 5
0, 0, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 7, 0, 14
0, 0, 0, 2, 0, 0, 7, 0, 9, 0, 2, 0, 5, 14, 0
